F1	colour	bud	shape	season
1	1	2	2	1
2	1	2	1	3
3	2	1	1	3
4	1	2	1	3
5	2	1	1	1
6	2	2	1	1
8	2	2	2	1
9	1	1	1	2
10	2	1	2	2
11	2	2	1	1
12	1	2	2	2
13	2	1	1	3
14	1	2	1	3
15	1	2	1	2
16	1	1	1	3
17	1	2	1	2
19	1	2	2	3
20	1	2	1	3
21	1	2	2	3
22	1	2	1	1
23	2	2	2	2
26	1	1	2	1
27	1	2	1	3
29	1	1	2	3
31	2	2	1	1
32	1	2	1	3
33	1	2	1	2
34	1	2	2	1
35	1	2	1	2
37	1	2	1	3
38	1	1	2	3
39	2	1	1	3
40	2	2	2	1
41	1	2	1	1
43	1	1	2	2
44	1	1	2	1
46	1	1	1	3
47	1	2	1	1
48	2	2	2	1
49	2	2	2	1
50	1	2	2	1
51	2	1	2	3
52	2	2	1	3
53	1	2	1	2
54	1	1	2	1
55	2	2	1	1
56	1	2	1	1
57	1	2	1	3
58	1	2	2	1
59	2	2	1	1
60	2	2	1	1
63	1	2	1	3
65	1	2	1	2
66	2	1	1	2
67	2	1	1	3
69	1	2	1	1
72	1	2	2	3
73	1	2	2	2
74	2	2	1	2
75	1	2	2	1
76	1	1	1	2
77	1	2	2	1
78	1	2	2	2
79	2	2	1	1
82	2	2	2	2
83	2	2	2	3
84	2	2	2	1
86	2	1	1	1
87	1	1	1	1
88	1	1	1	3
90	1	1	2	2
92	1	2	2	1
93	2	1	1	3
94	2	2	2	2
95	2	2	1	1
96	1	2	1	2
99	1	2	1	3
100	1	1	2	2
102	2	2	2	1
103	1	1	2	2
104	1	2	2	3
106	2	1	1	2
109	2	2	2	3
110	1	1	1	3
111	1	1	1	1
112	1	1	1	3
113	1	2	1	2
115	2	2	2	1
117	1	1	2	3
119	2	1	2	2
120	2	2	1	2
122	1	1	2	3
123	2	2	1	1
124	1	2	1	2
127	1	2	1	1
130	1	2	2	2
131	2	2	1	1
132	2	2	2	1
133	2	2	1	1
138	1	1	2	2
139	2	1	1	1
140	2	2	1	1
142	1	2	2	2
144	1	2	1	2
145	1	1	2	1
146	1	2	2	2
148	1	1	2	3
149	1	2	2	3
150	1	2	1	2
151	1	2	2	2
152	1	1	2	3
153	1	1	2	3
154	1	2	1	2
155	1	1	1	1
156	1	2	2	2
158	1	2	1	2
159	2	2	2	3
160	1	2	1	2
161	2	2	2	1
164	2	2	1	1
165	2	1	1	3
166	1	1	2	3
167	1	1	2	1
170	2	2	2	1
171	2	2	1	1
172	1	1	1	2
174	1	2	1	2
175	2	2	1	3
177	2	2	2	2
179	1	2	2	1
180	2	2	2	1
181	2	1	1	1
184	2	2	2	1
185	1	1	2	1
186	1	2	1	1
187	1	1	1	3
188	2	2	1	2
189	2	1	1	1
190	1	2	1	3
191	1	2	2	1
192	1	2	2	3
193	2	2	1	1
194	1	1	2	3
196	2	2	2	1
197	2	2	2	3
198	2	1	1	1
199	2	2	2	3
200	2	1	2	1
203	1	2	2	3
206	1	2	1	1
207	1	2	2	2
208	2	1	1	1
209	1	2	2	1
210	1	2	1	2
211	1	2	2	2
212	1	1	1	3
213	2	1	1	1
215	1	2	2	2
217	1	1	1	3
218	1	1	2	2
221	2	2	1	1
222	2	2	2	1
223	1	2	1	3
224	2	1	1	1
225	2	1	2	2
226	1	2	2	2
228	2	2	2	1
229	2	2	2	1
230	1	2	2	1
231	1	2	1	1
232	2	2	2	1
233	2	1	1	2
234	1	2	2	2
235	2	2	1	3
237	1	1	1	3
238	2	1	1	3
239	2	1	1	2
240	1	1	2	3
241	2	1	1	3
243	1	1	1	3
247	1	2	2	3
248	2	1	2	1
250	1	2	1	3
251	1	1	1	3
252	1	2	1	3
253	1	1	1	3
254	1	2	1	1
256	1	1	1	2
257	1	2	2	1
258	2	2	1	1
259	1	1	1	1
288	2	1	2	1
