F1	pistils	size	petals	pedicels	pistils_1	petals_1
1	1.6	24.4	15.8	4.096	2	2
2	1	25.46	15.2	3.608	1	2
3	1.8	25.216	18.2	3.146	2	2
4	1	24.236	5	2.736	1	1
5	1.8	26.52	15	3.556	2	2
6	1	23.9	5	3.57	1	1
8	0.6	25.702	5.2	3.744	1	1
9	2	24.87	14.8	3.022	2	2
10	2	27.09	14.4	3.804	2	2
11	0.8	25.514	5.2	3.252	1	1
12	1.2	23.056	15	4.114	2	2
13	1.4	25.358	14.8	3.202	2	2
14	0.8	23.438	5	4.134	1	1
15	1	23.122	5.2	3.844	1	1
16	0.8	25.404	5	3.288	1	1
17	0.8	25.63	5	4.222	1	1
19	0.4	23.834	7.2	2.954	1	1
20	0.8	23.354	5	3.41	1	1
21	1	23.834	5	3.28	1	1
22	0.6	24.264	5.2	3.01	1	1
23	1.2	27.428	13.6	3.586	2	2
26	2.2	29.294	15.8	3.576	2	2
27	1	25.598	5	3.734	1	1
29	1	24.476	15	4.49	1	2
31	1	28.292	5	3.594	1	1
32	1	22.604	5	2.902	1	1
33	0.6	24.438	5.4	3.616	1	1
34	1	26.364	15.2	3.96	2	2
35	1	26.446	5	3.572	1	1
37	1	26.566	5	4.544	1	1
38	1	25.634	5.2	3.51	1	1
39	2	20.312	14.8	2.644	2	2
40	2	27.322	14.4	2.99	2	2
41	1	25.184	5.2	2.606	1	1
43	1	31.04	14.8	3.2175	1	2
44	0.8	26.354	6.6	3.88	1	1
46	1.6	23.35	14.8	3.124	2	2
47	1.75	25.0925	14.75	3.9	2	2
48	1.8	28.552	15	3.48	2	2
49	1.8	22.604	15.2	3.792	2	2
50	2.2	25.104	14.6	3.322	2	2
51	1	24.838	6.4	3.326	1	1
52	1	26.928	5.4	3.256	1	1
53	1	23.434	5	3.584	1	1
54	2	27.916	15.2	3.47	2	2
55	0.8	24.082	5	4.29	1	1
56	0.8	22.178	5.2	3.172	1	1
57	0.8	24.582	5.8	4.046	1	1
58	1.4	28.206	15.6	3.016	2	2
59	2	25.414	15.8	3.766	2	2
60	0.8	23.966	5.2	3.394	1	1
63	1	25.846	5.2	3.68	1	1
65	1	25.18	5	4.144	1	1
66	0.8	23.672	5	2.268	1	1
67	2.4	24.554	15	3.672	2	2
69	0.8	26.978	5.2	4.432	1	1
72	2	27.936	16.8	2.764	2	2
73	1.4	27.958	15.4	3.958	2	2
74	1.8	25.054	14.8	3.176	2	2
75	1.4	27.342	15.2	3.524	2	2
76	1.8	27.408	14.6	4.23	2	2
77	1	26.166	5.2	3.384	1	1
78	1.8	29.638	14.2	2.612	2	2
79	1	25.604	5.2	3.306	1	1
82	0.6	24.648	5.2	3.742	1	1
83	2.2	25.85	15.4	3.942	2	2
84	2	27.994	14.8	2.868	2	2
86	1	27.068	5.2	2.21	1	1
87	0.8	25.72	5	2.762	1	1
88	0.5	26.83	5.25	4.24	1	1
90	1	26.936	14.8	3.826	1	2
92	2	25.094	14.8	3.612	2	2
93	0.4	22.84	5	2.708	1	1
94	1	25.642	5	3.292	1	1
95	1.6	25.962	15	4	2	2
96	1	22.75	5.6	3.426	1	1
99	1	28.646	5	1.954	1	1
100	0.4	25.566	5.4	2.326	1	1
102	2	26.232	15.6	2.8	2	2
103	1	24.264	15.8	3.494	1	2
104	1	25.152	5	3.206	1	1
106	1.8	26.392	17.4	3.292	2	2
109	1.4	24.98	14.4	2.606	2	2
110	1	21.768	6	3.638	1	1
111	1	27.582	5	5.932	1	1
112	1	21.058	5	3.072	1	1
113	1.6	22.718	15.6	3.668	2	2
115	2	23.412	15.6	3.558	2	2
117	1	25.79	5	4.026	1	1
119	1.6	24.954	15.8	3.392	2	2
120	1	22.176	5	2.92	1	1
122	1.2	25.996	14.2	2.6	2	2
123	0.8	29.146	5.2	3.106	1	1
124	0.6	23.636	5.2	4.078	1	1
127	0.8	24.894	5.8	3.9	1	1
130	2.2	29.258	14.6	4.104	2	2
131	2	26.502	14.6	4.652	2	2
132	2	26.414	18.8	3.598	2	2
133	0.6	28.538	5	4.036	1	1
138	1.2	25.966	14.4	3.576	2	2
139	1.2	25.616	17.2	4.022	2	2
140	0.6	25.324	5	3.956	1	1
142	1	25.724	5	2.77	1	1
144	0.6	26.368	5.6	3.294	1	1
145	1	24.306	5.4	3.44	1	1
146	1.8	24.326	18.6	3.986	2	2
148	0.8	25.712	5.4	2.788	1	1
149	2.2	20.29	15	3.658	2	2
150	2	25.014	15.6	2.858	2	2
151	1.6	26.544	15	3.07	2	2
152	2	26.098	15.6	3.564	2	2
153	1	23.22	5.2	3.268	1	1
154	1	20.956	5	3.098	1	1
155	1	26.572	5	3.436	1	1
156	0.8	25.9	5	3.348	1	1
158	0.8	27.822	5.6	3.722	1	1
159	1.4	26.58	14.6	2.658	2	2
160	0.8	26.822	5.6	3.38	1	1
161	1.4	26.798	15	3.448	2	2
164	2	24.182	15.2	3.292	2	2
165	1	24.074	6.8	3.584	1	1
166	2	24.504	20	3	2	2
167	2	26.262	15.8	3.684	2	2
170	2	25.472	15.2	3.018	2	2
171	1	26.696	5.4	3.598	1	1
172	1.4	25.092	15.8	3.846	2	2
174	1	24.498	5.2	4.026	1	1
175	1	23.06	14.6	3.064	1	2
177	1	23.872	5.2	3.14	1	1
179	1	23.174	5.8	3.724	1	1
180	2.6	27.866	14.4	3.384	2	2
181	1.2	24.188	15.8	3.444	2	2
184	0.8	24.648	5	2.834	1	1
185	1.4	31.968	14	2.8875	2	2
186	1	23.336	15	3.65	1	2
187	1	23.964	5	3.602	1	1
188	1	27.5	5	2.994	1	1
189	1.8	25.542	15.6	3.932	2	2
190	0.5	25.705	15.5	3.2	1	2
191	0.8	28.356	5	3.484	1	1
192	1	29.024	5	3.772	1	1
193	1	26.314	5.4	3.898	1	1
194	1.6	24.938	14.8	3.386	2	2
196	2	25.34	14.8	4.078	2	2
197	1	20.488	5	2.758	1	1
198	1	22.99	5.4	3.174	1	1
199	2	25.328	14.8	3.252	2	2
200	1.2	26.852	16.4	3.296	2	2
203	1.8	27.598	13.8	3.512	2	2
206	0.6	22.71	5	3.64	1	1
207	1.8	24.904	16	3.138	2	2
208	2.2	23.53	16.2	3.57	2	2
209	1	23	5.2	2.872	1	1
210	1	26.294	5.2	3.68	1	1
211	1.6	24.728	19.2	3.1	2	2
212	1	21.196	5	3.364	1	1
213	1.6	23.776	14.6	3.602	2	2
215	1	21.164	5	3.51	1	1
217	0.8	27.894	5	3.674	1	1
218	2	27.724	15.2	3.474	2	2
221	0.6	23.53	5	3.65	1	1
222	2	21.704	13.2	3.894	2	2
223	1	25.884	5	4.154	1	1
224	0.6	24.436	5.8	3.712	1	1
225	2	25.388	15.2	3.596	2	2
226	2	22.442	14.6	3.676	2	2
228	0.6	27.022	5.4	2.724	1	1
229	1	24.854	14.8	2.974	1	2
230	1	25.268	5	3.876	1	1
231	0.8	26.408	5	3.276	1	1
232	1	26.546	5	3.866	1	1
233	0.6	24.692	5.4	3.792	1	1
234	0.8	24.508	5	4.09	1	1
235	1	23.568	5	3.234	1	1
237	1	27.954	5.4	2.25	1	1
238	2	28.96	14.4	4.006	2	2
239	2	25.455	16.5	3.23	2	2
240	1	23.89	5	3.474	1	1
241	1.8	24.228	14.8	3.296	2	2
243	1	25.312	5.4	3.646	1	1
247	0.8	27.422	5	3.67	1	1
248	0.8	23.078	5	3.4125	1	1
250	1	24.404	5	2.342	1	1
251	1	24.13	5	4.006	1	1
252	1	26.64	5.2	3.868	1	1
253	1	25.058	16.4	2.094	2	2
254	0.8	23.424	5	3.892	1	1
256	1	25.918	5	3.75	1	1
257	1	25.338	5	2.478	1	1
258	1.8	25.674	18.2	3.512	2	2
259	1.2	23.128	16.2	3.206	2	2
288	0.8	26.014	6	3.28	1	1
