F×Ó´ú	length	diameter
1	43.5	4.29
2	72.5	2.63
4	139.5	9.5
5	38.5	4.23
6	97	6.19
8	63.5	5.92
9	147.5	8.83
10	160.5	11.22
11	34	3.48
12	99	7.63
15	121	7.71
16	53.5	7.315
17	124	6.825
19	42.5	3.94
20	29	3.29
21	116	6.665
22	104.5	5.375
23	116	9.625
27	101.5	6.075
31	94.5	6.33
33	104	8.25
35	31.5	4.895
37	96	7.25
38	73.5	5.45
39	113.5	7.2
40	111.5	6.745
41	117	7.7
43	118	8.33
44	125.5	8.325
45	24	4.45
46	114	7.715
47	130	9.665
48	86.5	6.655
49	35.5	3.685
50	141	8.93
51	61	1.885
52	122.5	7.19
53	61	4.65
54	38.5	3.335
55	16.5	2.19
56	56.5	5.185
57	94	8.23
58	37.5	6.32
60	115	7.74
61	71	4.94
62	116	10.08
63	91	7.035
65	118	6.325
66	82	6.295
67	106	8.495
69	29.5	4.325
70	61.5	4.935
71	99	8.845
72	92	7.78
73	136	9.17
74	157.5	10.33
75	117.5	7.655
76	84	6.115
77	77.5	7.035
78	146	9.03
82	104.5	7.25
83	130	7.13
84	76.5	6.09
86	90	8.285
87	97.5	5.44
88	123.5	8.15
90	117.5	10.24
91	90	6.765
93	138	9.25
94	110	7.795
96	96	5.445
99	67	6.35
100	110.5	8.755
102	76.5	5.48
103	131	8.85
104	88	7.48
106	115	7.03
109	65	5.31
110	121.5	7.705
111	145.5	8.61
112	165.5	9.49
113	34	4.645
114	129	6.3
115	49.5	5.275
117	89.5	4.955
119	98.5	8.69
120	97.5	6.605
122	106	7.605
123	104.5	6.835
124	117	6.52
127	132	6.8
130	115	8.925
131	52	6.365
132	124	8.315
133	48	6.165
137	88	6.645
138	119.5	8.77
139	121.5	6.43
140	96	6.745
142	30	6.12
145	168	8.51
146	129	8.44
149	82	5.795
150	40.5	4.03
151	77	6.405
152	140	7.83
153	103.5	6.51
154	86	6.765
155	56.5	6.725
156	121.5	7.19
158	111.5	5.64
159	124	8.285
160	95	6.43
161	106.5	7.05
164	80	5.88
165	141.5	8.58
166	144	9.47
167	99	7.455
168	116	6.475
170	44.5	4.7
172	142.5	8.285
173	89	7.095
174	128	9.315
175	129	7.85
176	112	8.44
177	108	7.59
179	119	8.94
180	89	6.415
181	127.5	6.98
184	113	8.08
185	138	8.72
187	127	8.725
189	101.5	5.83
190	96.5	6.935
191	89.5	6.325
192	137	9.04
193	53.5	5.53
194	94.5	6.215
196	67.5	5.425
197	125	6.8
199	116.5	6.035
200	127.5	7.6
203	43.5	5.76
206	117	8.085
207	82	6.01
208	104	8.345
209	44	4.735
210	92.5	6.46
211	88	6.465
212	116	7.18
213	45	4.075
215	51	4.48
217	103.5	8.15
218	67	5.3
221	114	7.59
222	58	4.575
223	90	7.975
224	82.5	7.105
225	112	7.985
226	115.5	6.365
228	47.5	4.91
229	62.5	5.095
230	124.5	8.69
231	125	8.555
232	116.5	7.7
233	86.5	4.17
234	68	6.865
234	115.5	9.165
235	124	7.395
238	90	7.705
239	102.5	7.47
240	114.5	7.64
241	131	10.105
243	101.5	8.1
246	113.5	7.53
247	70	4.855
248	55	4.58
250	103.5	7.82
251	101	7.745
252	49.5	6.24
253	66.5	7.1
254	101.5	9.875
256	101.5	7.92
257	121	8.875
258	87.5	6.265
259	48	4.365
288	54.5	5.66
