L1	color	bud	center	shape	period	calyx
2	1	1	1	1	3	2
3	1	1	1	1	3	2
4	1	1	1	1	2	2
5	1	1	1	1	3	2
6	1	1	1	2	2	2
7	1	2	1	1	3	1
8	2	2	1	1	3	1
9	2	1	1	1	3	1
10	2	1	1	1	3	1
11	2	1	1	1	1	1
12	2	2	1	1	2	1
13	1	2	1	1	2	2
14	2	1	1	2	1	1
15	2	1	1	1	2	1
16	1	1	1	2	3	2
17	2	1	1	2	2	1
18	1	1	1	1	3	2
19	1	1	1	1	3	2
20	2	1	1	2	3	1
21	2	1	1	1	3	1
22	1	2	1	2	2	2
24	2	1	1	1	3	1
25	1	2	1	2	3	2
26	2	1	1	1	3	1
28	2	1	1	1	2	1
29	1	1	1	1	3	2
30	2	2	1	1	2	1
31	1	2	1	1	2	2
32	1	2	1	2	2	2
33	2	2	1	2	1	1
34	1	1	1	2	3	2
35	2	1	1	2	3	1
37	1	1	1	2	3	2
38	1	1	1	2	1	2
39	2	1	2	1	2	1
40	2	1	2	1	3	1
41	1	1	1	1	1	2
42	2	1	1	2	2	1
43	1	1	1	1	2	2
44	1	1	1	1	3	2
45	1	2	1	1	3	2
46	1	2	1	2	1	2
47	1	2	1	2	2	2
48	2	1	1	1	3	1
49	1	1	2	2	1	2
50	2	2	1	1	2	1
51	1	2	1	1	3	2
52	1	1	1	1	3	2
53	2	1	1	2	3	1
54	2	2	2	1	1	1
55	1	1	1	1	2	2
56	2	1	1	1	1	1
57	2	1	1	2	1	1
58	2	2	1	2	1	1
59	2	1	1	1	1	1
60	1	2	1	1	1	2
61	2	1	1	2	2	1
62	1	1	1	2	3	2
63	1	1	1	1	3	2
64	2	2	1	1	1	2
66	2	1	1	1	3	1
67	2	2	1	2	2	1
68	2	1	1	2	1	1
69	1	2	1	1	1	2
70	2	1	1	1	3	1
71	2	2	1	2	1	1
72	1	1	1	2	3	2
73	1	1	1	1	1	2
74	2	2	1	1	1	1
75	2	2	1	2	1	1
76	1	1	1	1	3	2
77	1	1	1	1	3	2
79	1	2	1	2	3	2
80	2	1	1	1	1	1
81	1	1	1	2	3	2
82	1	1	1	1	3	2
84	2	1	1	2	3	1
85	1	1	1	1	3	2
86	2	1	1	2	3	1
87	1	1	1	1	1	2
89	2	1	1	2	1	1
90	2	2	1	1	2	1
91	2	2	1	1	1	1
92	2	1	1	2	1	1
93	2	1	1	1	3	2
94	1	2	1	1	2	2
95	1	2	1	1	1	2
96	1	1	1	1	3	2
97	2	1	1	2	3	1
98	1	1	1	1	3	2
99	2	1	1	1	1	1
100	2	1	1	1	2	1
101	2	1	1	2	3	1
102	1	2	1	2	1	2
103	2	1	1	2	3	1
104	1	2	1	2	3	2
105	2	1	1	1	1	1
107	2	1	1	1	3	1
108	1	1	1	1	3	2
109	1	2	1	2	1	2
110	2	1	2	1	1	1
111	2	1	1	1	3	2
112	2	1	1	2	3	1
113	1	1	1	2	1	2
114	1	1	2	1	2	2
115	2	1	1	1	3	1
116	2	2	1	2	2	1
117	1	1	1	1	3	2
118	2	1	2	1	3	1
119	1	2	1	2	1	2
121	1	1	2	1	3	2
122	1	1	1	1	3	2
123	2	2	1	1	2	1
124	2	1	1	2	3	1
125	1	1	1	1	2	2
126	2	1	1	2	1	1
127	2	1	1	1	2	1
128	2	1	1	1	2	1
130	1	1	1	1	3	2
131	2	1	1	2	3	1
132	1	1	1	2	3	2
133	1	2	1	1	2	2
134	2	2	1	2	2	1
135	1	2	1	1	2	2
136	2	2	1	1	1	1
137	2	1	1	2	2	1
138	2	2	1	1	1	1
139	2	2	1	1	1	1
141	1	1	1	1	2	2
142	2	2	1	2	1	1
143	2	2	1	2	2	1
144	2	2	1	2	1	1
145	1	1	1	1	3	2
146	2	1	1	1	3	1
147	1	1	1	2	3	2
148	2	2	1	2	1	1
149	1	1	1	2	1	2
150	1	1	1	1	1	2
151	1	1	1	1	2	2
152	2	2	1	2	1	1
153	2	1	1	1	2	1
154	1	2	1	1	1	2
155	1	2	2	1	2	2
156	1	1	1	1	3	2
157	1	2	1	2	2	2
158	2	2	1	1	3	1
159	2	2	1	2	3	1
160	2	2	1	1	1	1
161	1	2	1	1	2	2
162	1	1	1	1	3	2
163	1	1	1	2	3	2
164	1	2	1	2	3	1
165	2	2	1	1	3	2
166	2	1	1	1	3	1
167	1	2	1	1	2	2
168	2	1	1	1	1	1
169	1	2	1	1	2	2
171	1	1	1	1	2	2
172	2	1	1	1	1	1
173	1	1	1	2	3	2
174	2	1	1	1	3	1
175	1	1	1	1	3	2
176	2	2	1	2	1	1
177	1	1	1	1	2	2
178	2	1	1	2	3	1
179	1	1	1	1	1	2
180	2	2	1	2	1	1
181	2	1	1	2	3	1
182	2	2	1	2	1	1
183	1	1	1	2	2	2
184	1	2	1	2	3	2
185	2	1	1	2	3	1
186	1	1	1	2	3	2
187	2	1	1	2	2	1
188	1	1	1	1	2	2
189	2	1	2	1	1	1
190	1	2	1	2	1	2
191	2	2	1	2	2	1
192	1	2	1	2	2	2
193	2	1	1	1	2	1
194	2	2	1	2	2	1
195	2	2	1	2	2	1
196	2	2	1	2	2	1
197	1	1	1	2	3	2
198	1	1	1	2	3	2
199	1	2	1	1	2	2
200	1	2	1	2	1	2
201	2	1	1	1	3	1
202	1	1	1	1	3	2
203	1	1	1	2	2	2
204	1	2	1	1	3	2
205	1	2	1	2	1	2
206	2	1	1	2	3	1
207	2	1	1	2	2	1
208	2	1	1	2	2	1
209	2	2	1	2	1	1
210	1	1	1	1	2	2
211	2	2	1	1	3	1
212	2	2	1	2	1	1
213	2	1	1	2	2	1
215	2	1	1	2	3	1
216	2	1	1	2	3	1
