L1	pistils	size	petals	pedicels
2	1.80	25.09	14.80	2.30
3	1.00	28.98	12.20	2.41
4	1.00	24.96	14.80	2.23
5	1.40	20.07	14.00	2.67
6	0.60	21.51	5.00	1.96
7	1.00	26.24	13.00	2.05
8	1.00	23.80	15.20	2.05
9	0.40	23.39	5.00	2.15
10	1.00	22.08	5.20	1.89
11	0.60	27.05	5.20	2.20
12	1.00	26.09	5.00	1.89
13	1.20	23.58	14.60	2.17
14	1.00	28.26	5.00	2.23
15	0.80	25.50	5.00	2.30
16	1.00	25.23	15.50	2.34
17	0.20	23.13	5.00	2.22
18	1.00	26.17	13.80	2.29
19	1.60	22.75	13.80	2.53
20	1.00	25.65	15.00	2.66
21	1.00	27.25	5.00	2.36
22	1.00	22.33	5.40	2.69
24	0.40	30.82	5.20	2.82
25	1.00	24.03	5.00	1.98
26	0.80	28.19	14.40	2.39
28	0.00	23.62	5.00	1.93
29	1.40	24.22	10.60	2.00
30	0.40	24.32	5.00	2.27
31	1.20	22.93	14.40	2.51
32	1.00	25.90	5.00	2.20
33	0.80	26.51	5.00	2.11
34	1.00	27.23	5.00	2.04
35	1.00	21.50	14.40	2.35
37	1.00	27.85	14.60	2.51
38	1.00	26.13	5.00	2.59
39	0.00	23.62	5.00	2.28
40	0.60	25.37	5.00	2.49
41	1.00	28.94	14.80	2.37
42	0.40	24.77	5.20	2.76
43	1.00	26.83	15.60	2.91
44	1.40	27.49	14.20	2.22
45	1.00	27.78	14.80	2.06
46	0.80	24.54	5.00	2.57
47	0.60	26.63	5.00	2.81
48	1.00	28.91	14.00	2.40
49	0.20	22.79	5.00	1.86
50	1.00	24.87	5.00	2.12
51	1.40	27.87	14.80	2.00
52	0.80	25.39	5.00	2.26
53	0.80	23.54	13.40	2.45
54	0.60	22.90	5.40	2.35
55	1.00	27.04	5.00	2.32
56	1.60	28.33	15.20	2.24
57	0.00	20.25	5.00	1.86
58	0.60	24.72	5.00	1.97
59	1.00	28.27	5.00	2.23
60	0.60	26.38	5.00	2.53
61	1.00	29.10	5.00	2.70
62	1.00	24.77	14.80	3.06
63	1.25	22.24	13.00	1.97
64	2.00	26.53	17.80	2.11
66	1.00	25.40	5.00	1.80
67	0.80	25.66	5.00	2.00
68	1.00	28.20	5.00	1.76
69	1.00	22.44	12.60	2.72
70	1.00	24.81	5.20	2.24
71	1.00	25.49	5.00	1.97
72	1.60	28.59	12.00	2.46
73	0.20	20.55	5.40	1.63
74	0.80	22.07	5.00	2.66
75	1.00	26.98	5.00	1.66
76	0.40	25.21	15.00	2.36
77	2.00	28.12	14.00	2.16
79	1.00	23.10	5.00	2.62
80	0.80	25.42	5.00	2.37
81	1.00	29.70	5.00	2.37
82	1.00	23.64	12.00	2.48
84	0.60	22.41	5.00	1.91
85	1.80	26.02	14.40	2.46
86	1.00	25.29	5.00	2.28
87	1.00	28.12	15.20	2.58
89	0.80	26.27	5.20	2.47
90	2.20	23.09	13.20	1.90
91	1.00	24.97	5.20	2.02
92	1.00	24.93	5.40	1.73
93	2.00	24.54	14.20	3.52
94	1.20	23.88	14.60	2.41
95	1.20	27.80	14.00	2.57
96	1.20	26.82	13.60	2.39
97	0.40	20.84	5.00	2.01
98	1.00	27.85	5.00	2.81
99	0.60	22.68	5.00	1.76
100	1.40	22.30	14.20	2.32
101	0.60	22.61	5.00	1.87
102	1.00	24.85	5.40	2.18
103	1.00	28.38	5.00	2.75
104	0.40	23.99	5.00	2.14
105	1.60	24.87	12.20	2.47
107	1.00	24.08	13.60	2.36
108	1.20	25.52	14.60	1.95
109	0.40	25.26	5.00	2.36
110	0.40	26.07	5.00	2.58
111	0.60	23.30	14.00	2.23
112	1.20	19.75	14.60	2.76
113	1.00	21.44	15.00	2.38
114	0.20	24.18	5.00	2.27
115	0.80	27.53	5.00	2.58
116	0.60	24.70	5.00	2.26
117	1.40	28.69	13.20	2.39
118	1.00	25.48	5.00	1.97
119	0.80	28.83	5.20	2.44
121	1.00	23.20	15.00	1.91
122	1.80	28.68	15.00	2.42
123	1.20	27.30	15.20	2.54
124	0.40	24.40	14.40	2.33
125	0.40	24.72	5.40	2.32
126	0.80	22.29	5.00	1.98
127	0.80	25.74	5.00	2.28
128	1.00	25.33	5.00	2.15
130	1.20	26.74	15.00	2.60
131	1.00	28.18	5.00	2.51
132	1.20	25.67	13.00	2.68
133	1.00	26.77	14.40	2.75
134	0.80	25.92	5.00	2.04
135	0.60	25.14	5.00	2.51
136	2.00	26.94	14.20	2.65
137	0.80	22.82	5.00	1.86
138	1.00	26.77	5.00	2.87
139	0.80	24.56	5.00	3.10
141	0.60	22.83	5.00	2.40
142	1.00	26.77	5.00	2.29
143	0.60	26.27	5.00	2.71
144	1.00	28.94	5.00	1.98
145	1.00	22.77	14.20	2.29
146	1.00	20.66	13.20	2.32
147	1.00	25.37	5.20	2.17
148	0.60	25.55	5.00	1.88
149	1.00	26.72	5.00	2.41
150	0.40	26.84	5.00	2.24
151	0.80	23.74	13.80	1.97
152	0.60	23.20	5.20	2.08
153	0.40	25.59	5.00	2.13
154	0.60	25.58	5.00	2.29
155	0.60	28.40	5.00	2.01
156	2.00	26.34	14.60	2.65
157	0.80	24.52	5.00	2.39
158	1.00	26.21	14.80	2.49
159	1.80	25.31	13.80	2.31
160	1.00	23.16	5.00	2.89
161	1.40	26.75	14.60	2.11
162	2.00	23.83	15.00	2.93
163	1.00	28.69	5.00	1.81
164	0.20	28.16	5.00	2.36
165	1.00	25.69	13.60	2.22
166	1.00	28.22	5.00	1.94
167	1.20	25.88	14.80	2.10
168	0.60	24.04	5.60	2.36
169	0.80	27.96	5.00	2.45
171	1.20	26.22	13.20	2.08
172	1.00	27.30	5.00	2.95
173	0.80	27.02	5.00	2.72
174	1.20	25.91	13.00	2.23
175	1.00	30.70	5.00	2.96
176	0.40	25.64	5.00	1.90
177	1.20	22.03	14.80	2.44
178	0.80	24.59	5.00	2.19
179	1.00	24.62	13.00	2.63
180	0.00	24.30	5.00	1.86
182	1.00	26.21	5.00	2.01
183	0.60	21.84	5.00	2.14
184	1.20	24.60	5.00	2.65
185	2.20	25.25	14.80	2.49
186	1.40	27.43	13.60	2.65
187	0.80	25.27	5.00	2.70
188	1.00	24.17	12.40	2.35
189	0.00	25.41	5.50	2.47
190	1.20	26.97	15.00	2.32
191	1.00	25.50	5.00	2.17
192	0.80	26.24	5.00	2.41
193	0.60	24.56	5.00	2.17
194	1.00	26.10	5.00	2.38
195	0.40	26.34	5.00	2.62
196	0.80	24.81	5.00	2.59
197	1.00	24.82	5.00	2.76
198	0.80	26.07	5.00	2.56
199	1.20	24.77	14.00	2.58
200	1.00	26.16	15.00	2.36
201	1.00	26.45	6.00	1.26
202	0.80	26.17	15.40	2.73
203	0.40	25.85	5.00	2.47
204	1.00	25.84	13.40	2.45
205	0.80	24.71	5.00	2.20
206	0.80	27.24	5.00	2.17
207	0.80	24.74	5.00	2.48
208	1.00	24.14	5.00	2.10
209	1.00	25.94	5.00	2.08
210	0.80	25.93	5.20	2.24
211	0.00	25.90	14.00	2.36
212	0.60	23.71	5.00	1.94
213	1.00	24.84	5.00	2.27
215	0.80	25.10	5.00	1.95
216	0.20	23.79	5.00	2.04
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
