L×Ó´ú	length	diameter
1	171.5	8.235
2	157	8.51
3	115.5	8.025
4	169	8.79
5	176	9.805
6	129.5	8.095
7	161	8.98
8	100	6.94
9	113.5	8.815
10	96.5	8.015
11	132.5	8.325
12	179	9.395
13	84	6.635
14	75.5	4.7
15	110.5	7.11
16	202	10.68
17	97	7.65
18	129.5	7.69
19	95	7.78
21	140	8.94
22	117.5	9.095
23	41.255	6.225
24	52.5	6.35
25	135.5	9.79
26	129	7.27
27	149.5	8.11
28	92.5	7.14
29	95	7.475
30	143	8.02
31	28.5	3.51
32	82.5	6.345
33	99	7.33
34	110.5	6.745
37	128	9.13
39	109.5	9.15
40	91	7.57
41	148.5	8.725
42	100.5	8.33
43	97.5	6.98
44	76	6.295
45	64	6.065
46	92.5	7.11
47	89.5	7.905
48	83.5	6.425
49	117.5	8.77
50	162	11.2
51	158	7.385
53	184	8.81
55	116.5	9.1
56	58	5.41
57	109	8.095
58	78	6.275
59	105.5	7.13
60	75	4.355
61	76.5	7.74
62	107	8.13
63	122.5	8.705
64	52.5	3.525
65	135.5	8.67
66	64	6.655
67	44.5	4.445
68	118.5	8.14
69	146	9.805
70	87	7.825
71	73.5	6.055
72	162.5	7.605
73	156.5	8.94
75	114.5	8.8
76	148	10.605
77	184	10.99
78	120.5	8
79	103	6.6
80	120.5	7.825
81	88	7.325
82	84.5	5.93
85	77	6.73
86	103.5	8.275
87	177.5	8.295
88	98	7.795
89	148	10.64
90	187.5	11.43
91	182.5	8.79
92	71.5	7.27
93	171.5	10.455
94	119	6.875
95	90	6.075
96	164.5	9.955
98	80.5	4.925
99	67	4.48
101	104	7.49
102	53	5.22
103	109.5	9.045
104	89	7.425
105	104.5	7.075
107	97	8.45
108	69.5	5.39
109	98.5	7.675
110	83	6.8
111	107.5	6.58
112	133.5	8.59
113	41	4.86
114	128	8.475
115	171.5	9.19
117	124	9.155
118	92.5	8.285
121	83	6.91
122	95.5	6.09
123	94.5	7.46
124	116	6.995
125	179	7.67
126	69	7.655
127	118.5	6.895
128	96.5	7.565
129	101	7.46
130	70.5	5.82
131	80.5	9.82
132	90	8.22
133	104	6.175
134	113.5	7.41
135	197.5	9.01
136	36	3.57
137	122.5	8.165
138	162	8.835
140	165	8.485
141	73.5	7.095
142	124	9.595
143	77.5	4.615
144	65	3.4
145	48	4.195
146	144	7.195
147	128.5	8.05
148	80.5	6.03
149	246	9.78
150	110	6.33
152	119	9.89
153	101	6.74
154	102.5	9.195
155	106	7.775
156	87	7.83
157	144.5	9.75
159	122.5	8.415
160	111	6.88
161	175	11.19
162	105.5	5.52
163	99	8.81
164	159	8.74
165	63.5	4.41
166	113	7.28
167	90.5	4.665
169	78	7.36
170	86.5	8.41
171	149.5	8.685
172	115	8.625
173	115	7.525
174	122.5	9.7
175	94	6.25
176	55	6
178	105	7.035
179	95	5.355
180	69.5	5.395
183	88	7.115
184	116	8.525
185	107	8.295
186	116.5	8.01
187	86.5	9.005
188	141	8.08
190	96	10.02
191	53	4.535
192	125.5	9.265
193	64	5.815
194	81	6.77
195	91.5	8.17
196	79	7.235
197	199.5	9.55
198	126.5	9.27
200	77.5	6.165
201	130	7.665
202	62.5	6.195
203	131.5	6.52
204	157.5	7.33
206	107	6.545
207	83.5	4.68
208	79	6.635
209	41	5.85
210	86	7.495
211	86.5	5.455
212	83	8.16
213	122.5	9.91
214	83	7.82
215	99	7.905
216	123.5	8.195
