Y1	color	bud	center	sahpe	period
1	1	1	1	2	1
2	2	1	1	1	2
3	2	1	1	2	3
4	1	2	1	2	3
5	1	1	1	1	3
6	1	1	1	2	3
8	1	1	1	1	3
11	2	1	1	2	2
12	2	1	1	2	1
13	2	2	1	2	1
14	2	2	1	2	1
15	2	1	1	2	1
16	2	1	1	2	1
17	1	1	1	1	2
18	1	1	1	2	3
19	2	1	1	2	3
20	2	2	1	2	1
21	1	1	1	2	1
22	1	1	1	2	1
23	1	2	1	2	1
24	1	1	1	2	3
25	2	1	1	1	2
26	1	1	1	1	3
27	1	1	1	2	2
28	1	2	1	2	1
29	2	1	1	2	1
30	1	1	1	2	3
31	1	1	1	1	3
32	2	2	1	2	3
33	1	1	1	2	2
34	2	1	1	2	1
35	1	1	1	2	3
38	2	2	1	1	1
39	1	1	1	2	1
40	2	1	1	1	3
41	1	1	1	1	1
42	1	1	1	2	2
43	1	2	1	2	3
44	1	1	1	2	2
46	1	1	1	2	2
47	1	1	1	2	1
48	1	1	1	2	1
49	2	2	2	1	2
50	2	2	1	2	2
52	2	1	1	2	1
53	1	1	1	2	1
54	1	1	1	2	3
55	1	1	1	1	2
56	2	2	2	2	3
57	1	1	1	2	1
58	1	1	1	2	3
59	1	1	2	1	1
60	2	1	2	2	1
61	2	1	1	2	1
62	2	1	1	1	1
63	2	1	1	2	1
64	1	1	1	2	3
65	1	1	1	2	3
66	2	1	1	2	3
67	2	1	1	1	3
68	1	1	1	2	1
69	2	2	1	1	2
70	2	1	1	1	1
72	1	1	1	2	2
73	1	2	1	1	1
74	1	1	1	1	2
75	2	2	1	2	1
76	2	1	2	2	3
77	2	1	1	2	1
78	2	1	1	2	3
79	1	1	1	1	3
80	1	2	1	2	3
81	2	2	1	2	1
82	1	1	1	1	3
84	2	1	2	2	3
85	1	2	1	1	3
86	2	1	2	2	1
87	1	1	1	2	3
89	1	1	2	2	3
90	1	1	1	2	3
92	2	2	1	2	1
93	2	1	1	2	1
94	1	1	1	2	3
95	1	1	1	2	1
96	2	1	1	2	3
98	1	1	1	2	3
99	2	1	1	2	3
100	2	1	1	1	2
101	2	1	1	1	3
102	1	1	2	2	1
103	2	2	1	1	1
105	1	1	1	2	3
106	2	1	1	2	3
107	1	1	1	2	1
109	2	1	1	1	3
110	1	2	1	1	1
110	1	2	1	1	1
112	2	1	1	1	3
114	1	1	1	2	3
115	2	1	1	1	2
116	1	2	1	2	1
117	1	1	1	2	1
118	1	1	1	2	3
119	2	1	1	2	3
120	1	2	1	1	1
121	2	1	1	2	1
122	2	1	1	2	1
124	2	2	1	2	1
125	1	2	1	2	1
126	1	1	1	2	1
128	2	1	2	2	3
130	1	2	1	2	1
131	1	1	1	1	1
132	2	2	1	2	1
133	1	2	1	2	2
134	2	2	1	2	2
135	1	2	1	2	1
137	1	2	1	1	1
139	1	2	1	2	3
140	1	1	1	2	1
141	1	1	1	2	3
142	1	2	1	2	1
143	2	1	1	2	3
144	1	1	1	2	3
145	2	2	1	1	1
146	1	1	1	2	1
148	1	1	1	2	3
150	2	1	1	2	1
151	1	2	1	1	1
152	2	1	2	1	1
153	2	1	1	1	1
154	2	1	1	2	1
156	2	1	2	2	3
157	1	2	1	2	1
158	1	1	1	1	3
160	1	1	1	2	2
161	2	1	1	2	2
162	1	2	1	2	1
163	1	1	1	2	3
164	1	2	1	2	1
165	2	1	2	2	2
166	1	2	1	2	1
167	2	2	1	1	1
168	1	1	1	1	1
169	2	2	1	1	1
170	1	2	1	2	1
171	1	2	1	2	3
172	2	2	1	1	1
173	1	1	1	2	2
174	2	1	1	2	2
175	1	1	1	2	3
176	2	1	1	2	2
177	2	1	1	2	1
178	2	1	1	2	1
179	1	1	1	2	2
180	2	1	1	2	3
182	1	1	1	2	1
183	2	2	1	2	1
184	2	1	1	2	2
185	1	1	1	2	3
186	2	2	1	2	1
188	2	1	1	1	2
189	1	1	1	2	3
190	2	1	1	2	1
191	2	2	1	1	1
192	2	1	1	2	3
193	2	1	1	2	1
194	1	2	1	2	1
195	2	1	1	1	3
196	2	1	1	2	3
197	2	1	1	1	3
198	1	2	1	1	3
199	1	2	1	2	1
200	2	1	1	2	2
201	1	1	1	2	1
202	1	1	1	1	3
203	2	1	2	1	1
204	1	1	1	1	3
205	1	1	1	1	1
206	1	1	1	1	2
207	2	1	1	2	3
210	2	1	1	2	1
212	1	2	1	2	2
213	2	1	1	2	1
215	1	1	2	2	3
216	2	2	1	1	1
217	1	2	1	2	3
218	1	2	1	2	1
219	1	2	1	2	1
