Y1	pistils	size	petals	pedicels
1	2.60	23.23	15.20	1.95
3	1.00	26.89	5.40	2.02
4	1.00	24.06	5.20	2.26
5	1.00	25.62	5.00	1.95
6	1.00	26.51	5.00	2.25
8	0.80	28.68	5.00	2.60
10	1.40	24.09	14.60	2.49
11	1.40	25.02	15.40	1.87
12	1.00	26.95	5.40	2.13
13	0.00	26.35	5.00	2.39
14	2.00	25.48	15.00	1.92
15	1.40	24.35	19.80	1.96
16	0.00	26.87	5.00	2.45
17	2.40	28.61	15.40	2.19
18	2.00	24.28	14.00	1.63
19	1.67	26.82	16.33	2.47
20	2.20	28.27	15.00	2.38
21	1.00	25.15	5.00	2.22
22	1.00	24.69	15.20	2.08
23	0.80	26.88	5.40	2.08
24	1.00	25.63	5.00	2.44
25	2.40	24.29	14.20	2.74
26	0.80	24.72	5.60	2.04
27	1.00	26.02	5.60	2.18
28	0.80	27.09	5.20	2.20
29	1.00	25.62	5.00	2.26
30	0.75	28.09	5.50	2.29
31	1.00	26.11	5.00	1.95
32	2.00	22.47	14.80	2.31
33	1.00	23.17	5.00	2.61
34	1.75	23.39	16.25	2.43
35	1.00	24.08	5.00	1.86
38	2.20	27.62	17.60	2.12
39	0.80	23.43	5.00	1.83
40	2.80	25.46	18.20	2.33
41	0.20	25.64	5.40	1.98
42	0.20	26.28	5.20	2.02
43	1.80	28.10	11.60	2.22
44	0.67	28.55	6.67	2.37
46	1.00	27.05	5.00	2.47
47	1.00	26.78	5.00	1.99
48	0.60	26.89	5.60	1.73
49	0.00	27.51	5.20	2.67
50	0.80	26.34	5.00	1.95
52	1.80	25.85	17.80	1.81
53	1.00	23.06	5.00	1.50
54	1.00	24.76	5.00	1.78
55	2.00	25.48	14.20	2.19
56	0.80	27.72	6.40	2.81
57	1.25	26.73	17.50	2.30
58	0.80	25.58	5.00	2.08
59	0.60	26.39	5.00	2.09
60	1.00	25.52	5.00	2.04
61	2.20	25.97	18.20	1.88
62	0.80	24.89	5.60	1.46
63	1.00	25.01	5.20	2.41
64	1.60	26.18	15.40	1.98
65	1.00	26.30	5.00	2.43
66	1.80	24.32	15.20	1.97
67	1.00	26.16	5.00	2.20
68	1.00	26.05	5.20	1.73
69	1.60	24.16	15.60	2.35
70	2.40	25.27	15.20	2.21
72	2.00	28.42	14.40	2.14
73	1.00	22.85	5.20	2.81
74	1.00	21.72	5.20	1.98
75	1.40	23.45	16.40	1.68
76	0.60	28.04	5.40	2.17
77	1.00	23.63	15.80	2.06
78	0.80	25.43	5.00	2.15
79	2.00	29.42	18.00	2.08
80	0.80	25.84	5.00	2.20
81	1.00	24.04	5.00	1.73
82	1.60	22.74	17.00	2.14
84	0.00	23.28	6.00	2.09
85	2.80	24.77	14.80	2.28
86	0.60	23.90	5.00	1.68
87	0.80	23.67	15.00	2.40
89	0.40	23.73	5.00	2.30
90	1.00	27.13	5.00	2.12
92	1.20	25.41	12.00	2.33
93	1.80	25.35	17.20	2.15
94	1.50	27.61	17.50	2.70
95	2.40	24.04	17.40	2.24
96	1.00	26.38	5.00	2.15
98	2.00	27.67	14.33	2.24
99	2.00	25.90	14.20	2.32
100	1.00	29.18	5.00	2.29
101	1.00	24.71	14.80	2.30
102	0.40	26.57	5.00	2.01
103	1.60	24.09	19.60	2.17
105	1.00	26.85	15.40	2.20
