Y×Ó´ú	length	diameter
1	99	7.795
2	134.5	7.15
3	114.5	7.14
4	144.5	8.065
5	127.5	8.695
6	139	7.615
7	161	8.9
8	95.5	7.015
10	164.5	8.49
11	130.5	8.145
12	35	4.045
13	95.5	7.885
14	91	6.24
15	155.5	7
16	148.5	7.91
18	149.5	7.425
19	166.5	8.77
20	82	4.565
21	92.5	7.74
22	134.5	9.04
23	107.5	7.78
24	129.5	6.545
25	106	6.99
27	24	4.075
28	159	9.095
29	111.5	6.865
30	168.5	7.83
32	137.5	8
33	82.5	8.055
34	150	8.29
35	164.5	8.375
36	138.5	7.69
37	75.5	6.26
38	148	8.545
39	177	8.405
40	164	7.845
41	113	7.58
42	126	7.42
43	129.5	8.17
44	152.5	6.935
45	151.5	6.99
46	94.5	6.485
47	144.5	7.615
48	161.5	7.495
49	139.5	7.5
50	135.5	8
51	125.5	6.38
52	103.5	7.465
53	109	7.845
54	144.5	7.045
56	159.5	10.61
57	199	9.885
59	204.5	10.465
60	169	8.145
61	105	7.28
62	96	7.23
63	170	8.11
64	149	9.51
65	124.5	8.025
66	137	8.205
67	139.5	7.91
68	195.5	7.475
69	163	7.95
70	145	7.09
71	104	5.57
72	97.5	7.455
73	108.5	7.365
74	126.5	6.89
75	131.5	7.895
76	164.5	8.72
77	151	8.825
78	124	7.06
79	154	9.025
80	111	7.99
81	147	9.385
82	121.5	7.19
83	132	6.79
84	175.5	8.47
85	79.5	6.73
86	130	5.8
87	105.5	6.365
89	121	6.785
90	131.5	8.115
91	133	6.805
92	182	8.995
93	128.5	9.46
94	135	8.45
95	168	8.16
96	137	8.82
97	147	8.09
98	166.5	8.75
99	147.5	7.45
100	185.5	11.5
101	115.5	8.485
102	121.5	7.665
103	151	7.99
105	112.5	6.46
106	113	6.85
109	200	10.57
110	140.5	7.7
111	105.5	7.315
112	128.5	6.765
113	172	7.935
114	164	9.18
115	152	7.695
116	164.5	7.73
117	149	6.965
118	51.5	4.09
119	148.5	7.815
120	114	8.21
121	131.5	7.945
122	153.5	8.165
123	128.5	7.21
124	141.5	8.2
125	147	8.14
126	68	3.665
128	102.5	5.875
130	156.5	9.295
131	148.5	8.595
132	95	6.555
133	124.5	7.6
134	175	7.79
135	98.5	5.985
137	148	7.705
138	137	5.885
139	166	9.285
140	151.5	7.71
141	162	9.43
142	170	8.595
143	161.5	8.095
144	143	7.955
145	156.5	9.44
146	122.5	8.675
147	170	8.71
148	115	6.58
150	118	7.625
152	143	8.56
153	120.5	6.505
155	126.5	7.815
156	143.5	7.815
157	137	7.525
158	170.5	9.02
159	144	7.305
160	133	7.37
161	146.5	7.645
162	137.5	6.995
163	171	6.96
164	156.5	9.285
165	124	6.43
166	148.5	8.19
167	120	7.71
168	130.5	8.805
169	86	6.375
170	129	7.53
171	167	7.66
172	122.5	7.565
173	129.5	8.13
174	127.5	7.77
175	118	6.65
176	103.5	5.88
177	113.5	5.93
178	141.5	8.465
179	130.5	5.115
180	169.5	9.42
182	153	7.435
183	125.5	6.865
184	112	6.565
185	135.5	8.03
186	120.5	7.52
187	77	4.04
188	136	8.06
189	151	8.065
190	96	7.675
191	154	8.75
193	110	6.405
194	136	8.48
195	140.5	8.96
196	157.5	7.815
197	196.5	9.55
198	157	8.025
199	90.5	7.76
200	126	7.605
201	187.5	8.58
202	183	7.735
203	121.5	4.91
204	156	11.015
206	107	7.535
207	119.5	6.515
209	170.5	8.89
211	138	8.265
212	148.5	7.17
213	203	8.115
217	173.5	9.155
218	148.5	8.24
219	94	8.22
220	121	9.055
