Linkage_Group	Linkage-Position	Marker_ID	Scaffold_ID	Marker_Pos	Genetic_distance	Marker_type	Gene	GeneStart	GeneEnd
Pm1	49453	fheter_98908	scaffold528	49453	1.093	<nnxnp>	None	None	None
Pm1	87287	fheter_105689	scaffold528	87287	0	<nnxnp>	None	None	None
Pm1	185198	hk_hk873	scaffold528	185198	16.861	<hkxhk>	None	None	None
Pm1	238013	mheter_108294	scaffold250	410153	21.314	<lmxll>	None	None	None
Pm1	474596	fheter_104986	scaffold250	173570	1.791	<nnxnp>	Pm000065	473832	476703
Pm1	626724	fheter_100620	scaffold250	21442	2.325	<nnxnp>	None	None	None
Pm1	668919	fheter_104159	scaffold578	43373	7.22	<nnxnp>	Pm000093	663013	671981
Pm1	723539	hk_hk248	scaffold366	212842	11.589	<hkxhk>	None	None	None
Pm1	739397	fheter_103912	scaffold366	196984	3.927	<nnxnp>	Pm000100	734528	740213
Pm1	828229	hk_hk623	scaffold366	108152	14.298	<hkxhk>	Pm000120	819150	829152
Pm1	981066	fheter_99381	scaffold15	364304	16.214	<nnxnp>	None	None	None
Pm1	1161574	fheter_100905	scaffold15	183796	17.796	<nnxnp>	None	None	None
Pm1	1309400	mheter_114188	scaffold15	35970	28.086	<lmxll>	Pm000205	1302771	1310261
Pm1	1386143	hk_hk790	scaffold861	40675	21.683	<hkxhk>	None	None	None
Pm1	1588940	hk_hk1465	scaffold861	243472	20.291	<hkxhk>	Pm000256	1574314	1591238
Pm1	1651546	hk_hk2539	scaffold861	306078	22.827	<hkxhk>	None	None	None
Pm1	1824861	fheter_109237	scaffold191	216905	13.592	<nnxnp>	None	None	None
Pm1	1878953	fheter_102462	scaffold191	162813	12.909	<nnxnp>	Pm000299	1878817	1878966
Pm1	1984610	fheter_107657	scaffold191	57156	14.853	<nnxnp>	Pm000314	1982280	1985655
Pm1	2094051	fheter_100642	scaffold135	594284	9.085	<nnxnp>	None	None	None
Pm1	2128174	hk_hk2458	scaffold135	560161	19.057	<hkxhk>	Pm000338	2128056	2131201
Pm1	2492215	mheter_110964	scaffold135	196120	24.764	<lmxll>	None	None	None
Pm1	2645457	hk_hk1419	scaffold135	42878	20.941	<hkxhk>	None	None	None
Pm1	2779231	mheter_112315	scaffold502	90798	23.603	<lmxll>	None	None	None
Pm1	2856647	fheter_107084	scaffold502	168214	10.238	<nnxnp>	None	None	None
Pm1	2938513	mheter_110832	scaffold957	58228	22.641	<lmxll>	None	None	None
Pm1	3015995	mheter_110881	scaffold957	135710	23.36	<lmxll>	None	None	None
Pm1	3023751	fheter_103586	scaffold1506	66213	24.202	<nnxnp>	Pm000480	3023308	3025656
Pm1	3053576	hk_hk1396	scaffold1506	36388	28.354	<hkxhk>	Pm000486	3051429	3054259
Pm1	3083407	fheter_102721	scaffold1506	6557	24.611	<nnxnp>	None	None	None
Pm1	3125337	mheter_110402	scaffold204	473187	29.625	<lmxll>	None	None	None
Pm1	3326347	hk_hk912	scaffold204	272177	25.433	<hkxhk>	Pm000537	3326181	3328230
Pm1	3532052	fheter_98189	scaffold204	66472	19.618	<nnxnp>	Pm000575	3532052	3534437
Pm1	3620977	mheter_108551	scaffold509	22355	26.92	<lmxll>	None	None	None
Pm1	3719918	mheter_111907	scaffold509	121296	28.613	<lmxll>	None	None	None
Pm1	3812552	mheter_116942	scaffold684	146142	30.622	<lmxll>	Pm000617	3812218	3816022
Pm1	3966880	mheter_109963	scaffold230	8088	31.433	<lmxll>	None	None	None
Pm1	4004421	mheter_109319	scaffold230	45629	31.642	<lmxll>	None	None	None
Pm1	4337047	fheter_103039	scaffold230	378255	27.241	<nnxnp>	None	None	None
Pm1	4395757	fheter_100347	scaffold230	436965	27.668	<nnxnp>	Pm000723	4394913	4397190
Pm1	4461170	hk_hk1691	scaffold170	1082262	33.66	<hkxhk>	None	None	None
Pm1	4476127	fheter_109273	scaffold170	1067305	32.632	<nnxnp>	Pm000738	4474211	4477112
Pm1	4889533	fheter_106490	scaffold170	653899	31.407	<nnxnp>	Pm000799	4888122	4889838
Pm1	5260468	mheter_114628	scaffold170	282964	32.514	<lmxll>	None	None	None
Pm1	5463963	fheter_99861	scaffold170	79469	26.86	<nnxnp>	Pm000904	5462026	5464302
Pm1	5574265	fheter_106496	scaffold501	498857	36.406	<nnxnp>	None	None	None
Pm1	5939412	fheter_105700	scaffold501	133710	34.251	<nnxnp>	None	None	None
Pm1	6063389	fheter_99027	scaffold501	9733	33.027	<nnxnp>	None	None	None
Pm1	6139040	fheter_100770	scaffold648	65820	35.794	<nnxnp>	Pm000985	6135294	6142137
Pm1	6308538	fheter_105087	scaffold648	235318	36.706	<nnxnp>	None	None	None
